source_file,line,link_text,raw_target,mapped_file,exists,note,candidate_paths,match_confidence
docusaurus/docs/business-app/crm/forms.md,129,Automations,../automations/index.md,docusaurus/docs/business-app/automations/index.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/contacts/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/ai/ai-workforce/ai-chat-receptionist/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/executivereport/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/automations/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/administration/crm-objects/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/administration/connections/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/store/index.md|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/yesware/contacts/index.md,multiple
docusaurus/docs/business-app/crm/index.mdx,41,Companies,./companies,docusaurus/docs/business-app/crm/companies.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/companies.md,fuzzy_unique
docusaurus/docs/business-app/crm/index.mdx,42,Lists,./lists,docusaurus/docs/business-app/crm/lists.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/lists.md,fuzzy_unique
docusaurus/docs/business-app/crm/index.mdx,43,Forms,./forms,docusaurus/docs/business-app/crm/forms.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/node_modules/infima/styles/components/forms.pcss|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/node_modules/caniuse-lite/data/features/forms.js|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/node_modules/cheerio/lib/esm/api/forms.js|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/node_modules/cheerio/lib/api/forms.js|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/forms.md,fuzzy_multiple
docusaurus/docs/business-app/crm/index.mdx,44,Tasks,./tasks,docusaurus/docs/business-app/crm/tasks.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/node_modules/fast-glob/out/managers/tasks.js|/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/tasks.md,fuzzy_multiple
docusaurus/docs/business-app/crm/index.mdx,45,Opportunities,./opportunities,docusaurus/docs/business-app/crm/opportunities.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/opportunities.md,fuzzy_unique
docusaurus/docs/business-app/crm/companies.md,56,Lead scoring interface in the CRM,./img/companies/lead-scoring.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/companies/lead-scoring.png,unique
docusaurus/docs/business-app/crm/tasks.md,33,Create tasks from a CRM record,./img/tasks/create-tasks-from-crm-record.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/tasks/create-tasks-from-crm-record.png,unique
docusaurus/docs/business-app/crm/tasks.md,47,Create tasks from the task table,./img/tasks/create-tasks-from-task-table.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/tasks/create-tasks-from-task-table.png,unique
docusaurus/docs/business-app/crm/tasks.md,58,View and filter tasks,./img/tasks/view-and-filter-tasks.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/tasks/view-and-filter-tasks.png,unique
docusaurus/docs/business-app/crm/tasks.md,71,"Edit, complete, and delete tasks",./img/tasks/edit-complete-delete-tasks.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/tasks/edit-complete-delete-tasks.png,unique
docusaurus/docs/business-app/crm/tasks.md,86,Complete tasks consecutively,./img/tasks/complete-tasks-consecutively.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/tasks/complete-tasks-consecutively.png,unique
docusaurus/docs/business-app/crm/tasks.md,87,Task queue actions,./img/tasks/task-queue-actions.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/tasks/task-queue-actions.png,unique
docusaurus/docs/business-app/crm/lists.md,36,CRM Lists Navigation,./img/lists/list-navigation.jpg,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/lists/list-navigation.jpg,unique
docusaurus/docs/business-app/crm/lists.md,43,Static List Filters,./img/lists/static-list-filters.jpg,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/lists/static-list-filters.jpg,unique
docusaurus/docs/business-app/crm/lists.md,44,Static List Save,./img/lists/static-list-save.jpg,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/lists/static-list-save.jpg,unique
docusaurus/docs/business-app/crm/lists.md,55,Smart List Criteria,./img/lists/smart-list-criteria.jpg,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/lists/smart-list-criteria.jpg,unique
docusaurus/docs/business-app/crm/lists.md,63,Start Automation,./img/lists/start-automation.jpg,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/lists/start-automation.jpg,unique
docusaurus/docs/business-app/crm/lists.md,80,List Triggers,./img/lists/list-triggers.jpg,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/lists/list-triggers.jpg,unique
docusaurus/docs/business-app/crm/lists.md,88,Delete List,./img/lists/delete-list.jpg,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/lists/delete-list.jpg,unique
docusaurus/docs/business-app/crm/activity-feed.md,42,Companies,/business-app/crm/companies,docusaurus/docs/business-app/crm/companies.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/companies.md,fuzzy_unique
docusaurus/docs/business-app/crm/activity-feed.md,42,Opportunities,/business-app/crm/opportunities,docusaurus/docs/business-app/crm/opportunities.md,YES,,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/opportunities.md,fuzzy_unique
docusaurus/docs/business-app/crm/leaderboard.md,29,Leaderboard overview,./img/leaderboard/leaderboard_overview.png,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/leaderboard/leaderboard_overview.png,unique
docusaurus/docs/business-app/crm/contacts/send-yesware-campaigns-from-contacts.md,35,Steps to adding a Contact to a Yesware Campaign,../img/contacts/add-to-Yesware-Campaign.gif,,NO,no candidate file found,/Users/jneher/Documents/Cloned-Repos/businessapp-docs/docusaurus/docs/business-app/crm/img/contacts/add-to-Yesware-Campaign.gif,unique
